OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-06611100,"GRIZZLY CREEK NEAR SPICER, CO.",Stream,,10180001,118,sq mi,,,40.4933144,-106.4497549,,5,seconds,Interpolated from MAP.,NAD83,8234.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611200,"BUFFALO CREEK NEAR HEBRON, CO.",Stream,,10180001,56.3,sq mi,,,40.5230357,-106.3691966,,5,seconds,Interpolated from MAP.,NAD83,8190.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611300,"GRIZZLY CREEK NEAR HEBRON, CO.",Stream,,10180001,223,sq mi,,,40.5574795,-106.3900305,,5,seconds,Interpolated from MAP.,NAD83,8130.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611500,"GRIZZLY CREEK NEAR WALDEN, CO",Stream,,10180001,258,sq mi,,,40.6355335,-106.396697,24000,5,seconds,Interpolated from MAP.,NAD83,8060,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611700,"LITTLE GRIZZLY CREEK NEAR COALMONT, CO.",Stream,,10180001,10.1,sq mi,,,40.5513672,-106.616429,,5,seconds,Interpolated from MAP.,NAD83,8625.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611800,"LITTLE GRIZZLY CREEK ABOVE COALMONT, CO.",Stream,,10180001,35.4,sq mi,,,40.5733126,-106.5100346,,5,seconds,Interpolated from MAP.,NAD83,8200.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06611900,"LITTLE GRIZZLY CREEK ABOVE HEBRON, CO.",Stream,,10180001,52.2,sq mi,,,40.5824791,-106.4500324,,5,seconds,Interpolated from MAP.,NAD83,8120.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06612000,"LITTLE GRIZZLY CREEK NEAR HEBRON, CO.",Stream,,10180001,98.6,sq mi,,,40.6285892,-106.403364,,5,seconds,Interpolated from MAP.,NAD83,8070.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06612500,"ROARING FORK NEAR WALDEN, CO.",Stream,,10180001,79.1,sq mi,,,40.6830324,-106.460588,,5,seconds,Interpolated from MAP.,NAD83,8037.44,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06613000,"NORTH PLATTE RIVER NEAR WALDEN, CO.",Stream,,10180001,469,sq mi,,,40.6988655,-106.4155864,,5,seconds,Interpolated from MAP.,NAD83,8000.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06613500,"NORTH FORK NORTH PLATTE RIVER AT HIGHO, CO.",Stream,,10180001,80.8,sq mi,,,40.7399754,-106.4869776,,5,seconds,Interpolated from MAP.,NAD83,8125.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06613800,"HELL CREEK NEAR WALDEN, CO",Stream,,10180001,,,,,40.7278889,-106.4868056,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8119,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06613850,"SPRING GULCH NEAR WALDEN, CO",Stream,,10180001,,,,,40.72755,-106.4868889,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,8124,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06613880,"HELL CREEK BELOW SPRING GULCH NR WALDEN, CO",Stream,,10180001,,,,,40.7275556,-106.4863333,,1,seconds,Interpolated from Digital MAP.,NAD83,8130,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06613950,"HELL CREEK ABV NF NORTH PLATTE RIVER NR WALDEN, CO",Stream,,10180001,12.6,sq mi,,,40.7327222,-106.4250444,24000,1,seconds,Interpolated from Digital MAP.,NAD83,8010,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06614000,"NORTH FORK NORTH PLATTE RIVER NEAR WALDEN, CO.",Stream,,10180001,160,sq mi,,,40.7277538,-106.411975,,5,seconds,Interpolated from MAP.,NAD83,7972.23,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06614500,"NORTH PLATTE RIVER NEAR COWDREY, CO.",Stream,,10180001,696,sq mi,,,40.8638633,-106.3547499,,5,seconds,Interpolated from MAP.,NAD83,7880.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO",Stream,,10180001,1.54,sq mi,,,40.4960941,-105.8650119,24000,5,seconds,Interpolated from MAP.,NAD83,10390,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06615000,"SOUTH FORK MICHIGAN RIVER NEAR GOULD, CO",Stream,,10180001,11.7,sq mi,,,40.4622049,-106.008629,24000,5,seconds,Interpolated from MAP.,NAD83,9274,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06615500,"MICHIGAN RIVER NEAR LINDLAND, CO.",Stream,,10180001,60.9,sq mi,,,40.5535921,-106.0416849,,5,seconds,Interpolated from MAP.,NAD83,8734.28,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06616000,"NORTH FORK MICHIGAN RIVER NEAR GOULD, CO.",Stream,,10180001,20.5,sq mi,,,40.5494257,-106.0211287,,5,seconds,Interpolated from MAP.,NAD83,8793.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06616500,"MICHIGAN R AT HAWORTH SCHOOL NEAR LINDLAND, CO.",Stream,,10180001,100,sq mi,,,40.6127575,-106.0850192,,5,seconds,Interpolated from MAP.,NAD83,8495.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06617000,"OWL CREEK NEAR LINDLAND, CO.",Stream,,10180001,13.9,sq mi,,,40.5713689,-106.1289101,,5,seconds,Interpolated from MAP.,NAD83,7870.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06617100,"MICHIGAN RIVER AT WALDEN, CO.",Stream,,10180001,182,sq mi,,,40.7410876,-106.2794704,,5,seconds,Interpolated from MAP.,NAD83,8044.87,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06617500,"ILLINOIS RIVER NEAR RAND, CO.",Stream,,10180001,70.6,sq mi,,,40.4624813,-106.1769682,,5,seconds,Interpolated from MAP.,NAD83,8550.93,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06618000,"WILLOW CREEK NEAR RAND, CO.",Stream,,10180001,55.9,sq mi,,,40.4697031,-106.2175251,,5,seconds,Interpolated from MAP.,NAD83,8600.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06618300,"ILLINOIS RIVER BLW ISH BALDWIN DITCH NR WALDEN, CO",Stream,,10180001,181,sq mi,,,40.5755346,-106.241692,24000,5,seconds,Interpolated from MAP.,NAD83,8295.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06618400,"ILLINOIS RIVER ABOVE POTTER CREEK NR WALDEN, CO",Stream,,10180001,,,,,40.7089444,-106.2769444,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,8065,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06618480,"ILLINOIS RIVER BLW POTTER CREEK NR WALDEN, CO",Stream,,10180001,257,sq mi,256.67,sq mi,40.7085881,-106.2803039,24000,5,seconds,Interpolated from MAP.,NAD83,8070,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06618500,"ILLINOIS CREEK AT WALDEN, CO.",Stream,,10180001,259,sq mi,,,40.7263656,-106.2905819,,5,seconds,Interpolated from MAP.,NAD83,8038.80,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06619000,"MICHIGAN RIVER NEAR COWDREY, CO.",Stream,,10180001,478,sq mi,,,40.8616413,-106.3372492,,5,seconds,Interpolated from MAP.,NAD83,7878.28,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06619400,"CANADIAN RIVER NEAR LINDLAND, CO.",Stream,,10180001,44,sq mi,,,40.6952564,-106.0661287,,5,seconds,Interpolated from MAP.,NAD83,8150.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06619415,"BUSH DRAW NEAR WALDEN, CO.",Stream,,10180001,4.1,sq mi,,,40.7427554,-106.0955739,,5,seconds,Interpolated from MAP.,NAD83,8070.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06619420,"WILLIAMS DRAW NEAR WALDEN, CO",Stream,,10180001,3.95,sq mi,,,40.7383109,-106.1141858,,5,seconds,Interpolated from MAP.,NAD83,8110.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06619450,"CANADIAN RIVER NEAR BROWNLEE, CO.",Stream,,10180001,158,sq mi,,,40.8080316,-106.2364125,,5,seconds,Interpolated from MAP.,NAD83,7930.00,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06619500,"CANADIAN RIVER AT COWDREY, CO.",Stream,,10180001,181,sq mi,,,40.8630304,-106.3114149,,5,seconds,Interpolated from MAP.,NAD83,7869.54,feet,15,feet,Unknown.,NGVD29,US,08,057,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06657500,"LARAMIE RIVER NEAR GLENDEVEY, CO",Stream,,10180010,101,sq mi,,,40.8001111,-105.8786389,24000,1,seconds,Interpolated from Digital MAP.,NAD83,8230,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,069,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06658000,"MCINTYRE CREEK AT GLENEYRE, CO.",Stream,,10180010,24.1,sq mi,,,40.8802553,-105.9466758,,10,seconds,Interpolated from MAP.,NAD83,7985.00,feet,40,feet,Interpolated from topographic map.,NGVD29,US,08,069,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06693800,"MOSQUITO CREEK NEAR ALMA, CO",Stream,,10190001,16.2,sq mi,,,39.2699896,-106.0511297,24000,5,seconds,Interpolated from MAP.,NAD83,10220,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06693980,"MIDDLE FORK SOUTH PLATTE RIVER AB FAIRPLAY, CO.",Stream,,10190001,62.2,sq mi,,,39.2366568,-106.0291847,,5,seconds,Interpolated from MAP.,NAD83,10050.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06694100,"MIDDLE FORK SOUTH PLATTE RIVER NR HARTSEL, CO.",Stream,,10190001,250,sq mi,,,39.0222146,-105.7586185,,5,seconds,Interpolated from MAP.,NAD83,8796.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06694400,"SOUTH FORK SOUTH PLATTE RIVER AB FAIRPLAY, CO.",Stream,,10190001,50.3,sq mi,,,39.082493,-106.04835,,5,seconds,Interpolated from MAP.,NAD83,9470.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06694700,"FOURMILE CREEK NEAR FAIRPLAY, CO.",Stream,,10190001,12,sq mi,,,39.1844355,-106.0636293,,5,seconds,Interpolated from MAP.,NAD83,10250.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06694920,SO PLATTE RIVER AB SPINNEY RES NR HARTSEL CO,Stream,,10190001,,,,,38.9974925,-105.6816714,,5,seconds,Interpolated from MAP.,NAD83,8695.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06695000,"S PLATTE RIV AB 11-MILE CANYON RES, NR HARTSEL, CO",Stream,,10190001,884,sq mi,,,38.9674924,-105.58139,,5,seconds,Interpolated from MAP.,NAD83,8612.83,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06695500,"ELEVENMILE CANYON RE NEAR LAKE GEORGE, CO.","Lake, Reservoir, Impoundment",,10190001,963,sq mi,,,38.90527,-105.4755522,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06696000,"SOUTH PLATTE RIVER NEAR LAKE GEORGE, CO.",Stream,,10190001,963,sq mi,,,38.90527,-105.4733299,,5,seconds,Interpolated from MAP.,NAD83,8458.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06696200,"SOUTH PLATTE RIVER AT LAKE GEORGE, CO.",Stream,,10190001,1084,sq mi,,,38.9863808,-105.3636059,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06696980,"TARRYALL CREEK AT UPPER STATION NEAR COMO, CO",Stream,,10190001,23.9,sq mi,,,39.339433,-105.9116813,24000,5,seconds,Interpolated from MAP.,NAD83,9935,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06697100,"TARRYALL CREEK BLW PARK GULCH NR COMO, CO",Stream,,10190001,76.1,sq mi,72.9,sq mi,39.2816552,-105.7875114,24000,1,seconds,Interpolated from MAP.,NAD83,9260,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06697200,"FRENCH CREEK NEAR JEFFERSON,COLORADO",Stream,,10190001,4.63,sq mi,,,39.4149877,-105.8902912,24000,3,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06697450,"MICHIGAN CREEK ABOVE JEFFERSON, CO.",Stream,,10190001,23.1,sq mi,,,39.358877,-105.8414011,,5,seconds,Interpolated from MAP.,NAD83,9521.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06698000,"JEFFERSON CREEK NEAR JEFFERSON, CO.",Stream,,10190001,11.8,sq mi,,,39.3924861,-105.8105722,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,9600,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06698500,"TARRYALL CREEK NEAR JEFFERSON, CO.",Stream,,10190001,182,sq mi,,,39.2949885,-105.7186202,,5,seconds,Interpolated from MAP.,NAD83,9050.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06699000,"ROCK CREEK NEAR JEFFERSON, CO",Stream,,10190001,45.5,sq mi,,,39.2914444,-105.6976111,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,9037,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06699005,"TARRYALL CREEK BELOW ROCK CREEK NEAR JEFFERSON, CO",Stream,,10190001,230,sq mi,,,39.2869331,-105.6958417,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06699500,"TARRYALL CREEK NEAR LAKE GEORGE, CO.",Stream,,10190001,429,sq mi,,,39.0808247,-105.4166643,,5,seconds,Interpolated from MAP.,NAD83,8250.00,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06700000,"SOUTH PLATTE RIVER ABOVE CHEESMAN LAKE, CO.",Stream,,10190002,1627,sq mi,1615.1,sq mi,39.1627686,-105.3102732,24000,5,seconds,Interpolated from MAP.,NAD83,6845.86,feet,15,feet,Unknown.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06700500,"GOOSE CREEK ABOVE CHEESMAN LAKE, CO.",Stream,,10190002,86.6,sq mi,,,39.2088794,-105.3036069,,5,seconds,Interpolated from MAP.,NAD83,6910.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701000,"CHEESMAN LAKE NEAR DECKERS, CO.","Lake, Reservoir, Impoundment",,10190002,1752,sq mi,1740.1,sq mi,39.2072128,-105.272217,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701500,"SOUTH PLATTE RIVER BELOW CHEESMAN LAKE, CO",Stream,,10190002,1752,sq mi,1740.1,sq mi,39.2091572,-105.2677725,24000,5,seconds,Interpolated from MAP.,NAD83,6609.29,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701550,"FOURMILE CREEK ABOVE MOUTH NEAR DECKERS, CO",Stream,,10190002,7.39,sq mi,,,39.230546,-105.2252713,24000,5,seconds,Interpolated from MAP.,NAD83,6740,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701620,"TROUT CREEK BLW FERN CR NR WESTCREEK, CO.",Stream,,10190002,106,sq mi,106,sq mi,39.167491,-105.1222112,24000,5,seconds,Interpolated from MAP.,NAD83,7440,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701700,WEST CR. ABV SHREWSBURY GULCH NR WESTCREEK CO,Stream,,10190002,56.2,sq mi,,,39.145425,-105.1600111,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,7512,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701900,"SOUTH PLATTE RIVER BLW BRUSH CRK NEAR TRUMBULL, CO",Stream,,10190002,2028,sq mi,2016.1,sq mi,39.2599903,-105.2219379,24000,5,seconds,Interpolated from MAP.,NAD83,6380,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06701970,"SPRING CREEK ABOVE MOUTH NEAR SOUTH PLATTE, CO",Stream,,10190002,9.79,sq mi,,,39.3936004,-105.1841572,12400,5,seconds,Interpolated from MAP.,NAD83,6320,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06702000,"S PLATTE R AB NORTH FORK AT SOUTH PLATTE, CO.",Stream,,10190002,2098,sq mi,,,39.4061003,-105.171101,,5,seconds,Interpolated from MAP.,NAD83,6080.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
